DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NM_SOCIAL_CANDIDATO;CD_SITUACAO_CANDIDATURA;DS_SITUACAO_CANDIDATURA;CD_DETALHE_SITUACAO_CAND;DS_DETALHE_SITUACAO_CAND;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;CD_SIT_TOT_TURNO;DS_SIT_TOT_TURNO;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS
21/02/2020;12:42:49;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;MG;42390;CANDEIAS;42390;CANDEIAS;296;11;Prefeito;1,30E+11;11;RODRIGO MORAES LAMOUNIER;RODRIGO DO CELINHO;#NULO#;12;APTO;2;DEFERIDO;Coligação;11;PP;Partido Progressista;1,30E+11;UNIDOS PARA RENOVAR;PP / PMDB / PR / PTC / PSB / PSD / PRB / PT do B / PROS;1;ELEITO;N;6349
21/02/2020;12:42:49;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;MG;54038;UBERLÂNDIA;54038;UBERLÂNDIA;314;11;Prefeito;1,30E+11;11;ODELMO LEÃO CARNEIRO SOBRINHO;ODELMO LEÃO;#NULO#;12;APTO;2;DEFERIDO;Coligação;11;PP;Partido Progressista;1,30E+11;PRONTOS PARA O TRABALHO;PP / PSD / PR / DEM / PTB / SD / PSL / PRTB / PROS / PHS / PMB / PPL / PV / PSC / PT do B / PSDB;1;ELEITO;N;48409
21/02/2020;12:42:49;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;MG;54038;UBERLÂNDIA;54038;UBERLÂNDIA;279;11;Prefeito;1,30E+11;11;ODELMO LEÃO CARNEIRO SOBRINHO;ODELMO LEÃO;#NULO#;12;APTO;2;DEFERIDO;Coligação;11;PP;Partido Progressista;1,30E+11;PRONTOS PARA O TRABALHO;PP / PSD / PR / DEM / PTB / SD / PSL / PRTB / PROS / PHS / PMB / PPL / PV / PSC / PT do B / PSDB;1;ELEITO;N;61030
21/02/2020;12:42:49;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;PB;21997;SÃO MAMEDE;21997;SÃO MAMEDE;26;11;Prefeito;1,50E+11;25;UMBERTO JEFFERSON DE MORAIS LIMA;DR. JEFFERSON MORAIS;#NULO#;12;APTO;2;DEFERIDO;Coligação;25;DEM;Democratas;1,50E+11;UNIDOS POR SÃO MAMEDE;DEM / PSDB / PPS / PSB / PTB / PMDB;1;ELEITO;N;4361
21/02/2020;12:42:49;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;PR;74047;LINDOESTE;74047;LINDOESTE;143;11;Prefeito;1,60E+11;22;JOSE ROMUALDO PEDRO;ZEZINHO;#NULO#;12;APTO;2;DEFERIDO;Coligação;22;PR;Partido da República;1,60E+11;MUDA LINDOESTE COM FÉ, FAMÍLIA E DESENVOLVIMENTO;PPL / PR / PPS / PSDB / SD / PV / PTN / PSB;1;ELEITO;N;2198
21/02/2020;12:42:49;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;SP;64793;GUZOLÂNDIA;64793;GUZOLÂNDIA;225;11;Prefeito;2,50E+11;45;LUIZ ANTONIO PEREIRA DE CARVALHO;JUNIOR;#NULO#;12;APTO;2;DEFERIDO;Coligação;45;PSDB;Partido da Social Democracia Brasileira;2,50E+11;NOVOS TEMPOS, NOVAS CONQUISTAS;PSDB / PMDB / DEM / PV / PSD;1;ELEITO;N;1568
21/02/2020;12:42:49;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;BA;33170;ALMADINA;33170;ALMADINA;135;11;Prefeito;50000008095;19;MILTON SILVA CERQUEIRA;MILTON CERQUEIRA;#NULO#;12;APTO;2;DEFERIDO;Coligação;19;PTN;Partido Trabalhista Nacional;50000000591;TÁ NA HORA DE MUDAR;PTB / PSL / PTN / PSB / PV / PSD / PROS / PC do B / PT / PP;1;ELEITO;N;2204
21/02/2020;12:42:49;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;MG;42498;CAPIM BRANCO;42498;CAPIM BRANCO;174;11;Prefeito;1,30E+11;15;ELMO ALVES DO NASCIMENTO;ELMO DE MOZART;#NULO#;12;APTO;2;DEFERIDO;Coligação;15;PMDB;Partido do Movimento Democrático Brasileiro;1,30E+11;SERIEDADE, TRANSPARÊNCIA E COMPROMISSO;PMDB / PEN / DEM / PDT / PTB / PTC / PSC / PHS / PROS / PMN;1;ELEITO;N;3886
21/02/2020;12:42:49;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;PB;22217;SOLÂNEA;22217;SOLÂNEA;48;11;Prefeito;1,50E+11;25;KAYSER NOGUEIRA PINTO ROCHA;KAISER ROCHA;#NULO#;12;APTO;2;DEFERIDO;Coligação;25;DEM;Democratas;1,50E+11;UNIDOS POR SOLANEA;PP / PTB / PTN / PR / DEM / PSDC / PMN / PSB / PT / PTC;1;ELEITO;N;8203
21/02/2020;12:42:49;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;MG;41610;BONFIM;41610;BONFIM;47;11;Prefeito;1,30E+11;15;GUSTAVO MARQUES RIBEIRO;GUSTAVO MARQUES RIBEIRO;#NULO#;12;APTO;2;DEFERIDO;Coligação;15;PMDB;Partido do Movimento Democrático Brasileiro;1,30E+11;JUNTOS POR BONFIM;PMDB / DEM;1;ELEITO;N;2302
