city;city_ibge_code;date;epidemiological_week;estimated_population;estimated_population_2019;is_last;is_repeated;last_available_confirmed;last_available_confirmed_per_100k_inhabitants;last_available_date;last_available_death_rate;last_available_deaths;order_for_place;place_type;state;new_confirmed;new_deaths
;50;02/12/2020;49;2809394;2778986;VERDADEIRO;FALSO;102236;363907661;02/12/2020;176;1804;264;state;MS;1134;11
;24;02/12/2020;49;3534165;3506853;VERDADEIRO;FALSO;97302;275318215;02/12/2020;28;2722;266;state;RN;170;7
;17;02/12/2020;49;1590248;1572866;VERDADEIRO;FALSO;82651;519736544;02/12/2020;142;1173;260;state;TO;356;3
;12;03/12/2020;49;894470;881935;VERDADEIRO;FALSO;36899;412523617;03/12/2020;198;730;262;state;AC;153;3
;27;03/12/2020;49;3351543;3337357;VERDADEIRO;FALSO;95643;285370052;03/12/2020;245;2346;271;state;AL;255;2
;13;03/12/2020;49;4207714;4144597;VERDADEIRO;FALSO;180842;429786815;03/12/2020;273;4932;266;state;AM;879;20
;16;03/12/2020;49;861773;845731;VERDADEIRO;FALSO;60391;70077619;03/12/2020;136;819;259;state;AP;541;5
;29;03/12/2020;49;14930634;14873064;VERDADEIRO;FALSO;412685;276401525;03/12/2020;202;8336;273;state;BA;3268;21
;23;03/12/2020;49;9187103;9132078;VERDADEIRO;FALSO;303168;329993035;03/12/2020;319;9657;263;state;CE;1366;17
;53;03/12/2020;49;3055149;3015268;VERDADEIRO;FALSO;231426;75749497;03/12/2020;171;3962;272;state;DF;521;7
;32;03/12/2020;49;4064052;4018650;VERDADEIRO;FALSO;195437;480891977;03/12/2020;223;4349;274;state;ES;1612;27
;52;03/12/2020;49;7113540;7018354;VERDADEIRO;FALSO;284568;400037112;03/12/2020;226;6420;267;state;GO;1126;19
;21;03/12/2020;49;7114598;7075181;VERDADEIRO;FALSO;194320;273128573;03/12/2020;222;4322;259;state;MA;437;9
;31;03/12/2020;49;21292666;21168791;VERDADEIRO;FALSO;428790;201379198;03/12/2020;238;10187;271;state;MG;4635;66
;51;03/12/2020;49;3526220;3484466;VERDADEIRO;FALSO;161116;456908531;03/12/2020;258;4164;259;state;MT;576;3
;15;03/12/2020;49;8690745;8602865;VERDADEIRO;FALSO;273753;314993709;03/12/2020;253;6939;261;state;PA;627;6
;25;03/12/2020;49;4039277;4018127;VERDADEIRO;FALSO;147274;364604854;03/12/2020;226;3326;267;state;PB;746;10
;26;03/12/2020;49;9616621;9557071;VERDADEIRO;FALSO;187038;194494511;03/12/2020;486;9098;267;state;PE;1431;16
;22;03/12/2020;49;3281480;3273227;VERDADEIRO;FALSO;129825;395629411;03/12/2020;205;2658;260;state;PI;729;8
;41;03/12/2020;49;11516840;11433957;VERDADEIRO;FALSO;293969;25525144;03/12/2020;215;6314;267;state;PR;5423;71
;33;03/12/2020;49;17366189;17264943;VERDADEIRO;FALSO;365185;210285054;03/12/2020;627;22891;274;state;RJ;3788;127
;11;03/12/2020;49;1796460;1777225;VERDADEIRO;FALSO;81733;454966991;03/12/2020;194;1586;259;state;RO;411;7
;14;03/12/2020;49;631181;605761;VERDADEIRO;FALSO;64317;1018994551;03/12/2020;115;740;258;state;RR;143;1
;43;03/12/2020;49;11422973;11377239;VERDADEIRO;FALSO;337003;295022145;03/12/2020;209;7043;269;state;RS;5724;70
;42;03/12/2020;49;7252502;7164788;VERDADEIRO;FALSO;383577;528889203;03/12/2020;102;3898;267;state;SC;4956;43
;28;03/12/2020;49;2318822;2298696;VERDADEIRO;FALSO;91718;395537044;03/12/2020;253;2320;265;state;SE;798;4
;35;03/12/2020;49;46289333;45919049;VERDADEIRO;FALSO;1267912;27391019;03/12/2020;336;42637;283;state;SP;8208;181
