ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;CD_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NM_SOCIAL_CANDIDATO;CD_SITUACAO_CANDIDATURA;DS_SITUACAO_CANDIDATURA;CD_DETALHE_SITUACAO_CAND;DS_DETALHE_SITUACAO_CAND;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;CD_SIT_TOT_TURNO;DS_SIT_TOT_TURNO;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS
2018;2;Eleição Ordinária;1;297;ELEIÇÕES GERAIS ESTADUAIS 2018;07/10/2018;E;AC;12;AC;ACRE;1392;RIO BRANCO;1;3;Governador;10000603056;11;GLADSON DE LIMA CAMELI;GLADSON CAMELI;#NULO#;12;APTO;2;DEFERIDO;Coligação;11;PP;Partido Progressista;10000050087;MUDANÇA E COMPETÊNCIA;PP / MDB / PSDB / DEM / PSD / PTB / PMN / SOLIDARIEDADE / PTC / PR / PPS;1;ELEITO;N;53468
2018;2;Eleição Ordinária;2;298;ELEIÇÕES GERAIS ESTADUAIS 2018;28/10/2018;E;AM;13;AM;AMAZONAS;2550;MANAUS;1;3;Governador;40000610391;20;WILSON MIRANDA LIMA;WILSON LIMA;#NULO#;12;APTO;2;DEFERIDO;Coligação;20;PSC;Partido Social Cristão;40000050275;TRANSFORMAÇÃO POR UM NOVO AMAZONAS;PSC / PRTB / REDE;1;ELEITO;N;41335
2018;2;Eleição Ordinária;2;298;ELEIÇÕES GERAIS ESTADUAIS 2018;28/10/2018;E;AP;16;AP;AMAPÁ;6050;MACAPÁ;2;3;Governador;30000613618;12;ANTONIO WALDEZ GÓES DA SILVA;WALDEZ;#NULO#;12;APTO;2;DEFERIDO;Coligação;12;PDT;Partido Democrático Trabalhista;30000050363;COM A FORÇA DO POVO POR MAIS CONQUISTAS;PDT / PROS / PTB / MDB / DC / PRB / PRP / PC do B / PMB;1;ELEITO;N;65823
2018;2;Eleição Ordinária;1;297;ELEIÇÕES GERAIS ESTADUAIS 2018;07/10/2018;E;AL;27;AL;ALAGOAS;27855;MACEIÓ;54;3;Governador;20000621744;15;JOSE RENAN VASCONCELOS CALHEIROS FILHO;RENAN FILHO;#NULO#;12;APTO;2;DEFERIDO;Coligação;15;MDB;Movimento Democrático Brasileiro;20000050568;AVANÇA MAIS ALAGOAS;MDB / PODE / PPS / PDT / PR / PTB / PHS / PV / PT / PRP / PRTB / PSD / DC / PC do B / AVANTE / SOLIDARIEDADE / PMN;1;ELEITO;N;48148
2018;2;Eleição Ordinária;1;297;ELEIÇÕES GERAIS ESTADUAIS 2018;07/10/2018;E;BA;29;BA;BAHIA;38490;SALVADOR;2;3;Governador;50000607711;13;RUI COSTA DOS SANTOS;RUI COSTA;#NULO#;12;APTO;2;DEFERIDO;Coligação;13;PT;Partido dos Trabalhadores;50000050202;MAIS TRABALHO POR TODA A BAHIA;PT / PP / PDT / PSD / PSB / PC do B / PR / PMB / PRP / PODE / AVANTE / PMN / PROS / PTC;1;ELEITO;N;39797
2018;2;Eleição Ordinária;1;297;ELEIÇÕES GERAIS ESTADUAIS 2018;07/10/2018;E;CE;23;CE;CEARÁ;13897;FORTALEZA;113;3;Governador;60000610979;13;CAMILO SOBREIRA DE SANTANA;CAMILO;#NULO#;12;APTO;2;DEFERIDO;Coligação;13;PT;Partido dos Trabalhadores;60000050294;POR UM CEARA CADA VEZ MAIS FORTE;PT / PDT / PP / PSB / PR / PTB / DEM / PC do B / PPS / PRP / PV / PMN / PPL / PATRI / PRTB / PMB;1;ELEITO;N;48774
2018;2;Eleição Ordinária;2;298;ELEIÇÕES GERAIS ESTADUAIS 2018;28/10/2018;E;DF;53;DF;DISTRITO FEDERAL;97012;BRASÍLIA;1;3;Governador;70000614515;15;IBANEIS ROCHA BARROS JUNIOR;IBANEIS;#NULO#;12;APTO;2;DEFERIDO;Coligação;15;MDB;Movimento Democrático Brasileiro;70000050385;PRA FAZER A DIFERENÇA;MDB / PP / AVANTE / PSL / PPL;1;ELEITO;N;21607
2018;2;Eleição Ordinária;1;297;ELEIÇÕES GERAIS ESTADUAIS 2018;07/10/2018;E;ES;32;ES;ESPÍRITO SANTO;57053;VITÓRIA;52;3;Governador;80000625512;40;JOSE RENATO CASAGRANDE;RENATO CASAGRANDE;#NULO#;12;APTO;2;DEFERIDO;Coligação;40;PSB;Partido Socialista Brasileiro;80000050688;ESPIRITO SANTO MAIS IGUAL;PSB / PHS / PROS / PV / PSC / AVANTE / PTC / PPS / PSDB / DEM / PDT / PP / PC do B / PPL / DC / SOLIDARIEDADE / PRP / PSD;1;ELEITO;N;46371
2018;2;Eleição Ordinária;1;297;ELEIÇÕES GERAIS ESTADUAIS 2018;07/10/2018;E;GO;52;GO;GOIÁS;93734;GOIÂNIA;1;3;Governador;90000613470;25;RONALDO RAMOS CAIADO;RONALDO CAIADO;#NULO#;12;APTO;2;DEFERIDO;Coligação;25;DEM;Democratas;90000050358;A MUDANÇA É AGORA;DEM / PRP / PROS / PMN / PMB / PSC / DC / PSL / PODE / PTC / PRTB / PDT;1;ELEITO;N;48105
2018;2;Eleição Ordinária;1;297;ELEIÇÕES GERAIS ESTADUAIS 2018;07/10/2018;E;MA;21;MA;MARANHÃO;9210;SÃO LUÍS;1;3;Governador;1,00E+11;65;FLÁVIO DINO DE CASTRO E COSTA;FLÁVIO DINO;#NULO#;12;APTO;2;DEFERIDO;Coligação;65;PC do B;Partido Comunista do Brasil;1,00E+11;TODOS PELO MARANHÃO;PC do B / PRB / PDT / PPS / DEM / PSB / PR / PP / PROS / PT / PTB / PATRI / PTC / SOLIDARIEDADE / PPL / AVANTE;1;ELEITO;N;44936
